,angle_x,angle_y,angle_z,target
181,-0.4,0.72,-4.01,0
182,-0.39,0.85,-3.99,0
183,-0.4,0.99,-3.98,0
184,-0.52,1.14,-3.95,0
185,-0.65,1.24,-3.93,0
186,-0.74,1.24,-3.91,0
187,-0.8,1.23,-3.89,0
188,-0.84,1.26,-3.89,0
189,-0.94,1.31,-3.87,0
190,-1.06,1.41,-3.86,0
191,-1.28,1.47,-3.85,0
192,-1.74,1.48,-3.84,0
193,-2.2,1.5,-3.83,0
194,-2.78,1.55,-3.79,0
195,-3.25,1.57,-3.76,0
196,-3.59,1.67,-3.69,0
197,-3.81,1.74,-3.62,0
198,-3.94,1.79,-3.59,0
199,-4.1,1.86,-3.58,0
200,-4.23,1.93,-3.56,0
201,-4.33,1.99,-3.56,0
202,-4.48,2.05,-3.55,0
203,-4.82,2.14,-3.53,0
204,-5.33,2.3,-3.49,0
205,-5.92,2.47,-3.45,0
206,-6.33,2.68,-3.46,0
207,-6.77,2.77,-3.42,0
208,-7.1,2.9,-3.39,0
209,-7.47,3.13,-3.38,0
210,-7.77,3.32,-3.37,0
211,-8.03,3.39,-3.36,0
212,-8.4,3.47,-3.34,0
213,-8.6,3.63,-3.34,0
214,-8.67,3.74,-3.35,0
215,-8.68,3.75,-3.35,0
216,-8.7,3.75,-3.35,0
217,-8.72,3.74,-3.36,0
218,-8.93,3.7,-3.36,0
219,-9.36,3.81,-3.35,0
220,-9.92,4.0,-3.35,0
221,-10.33,4.03,-3.33,0
222,-10.95,4.22,-3.31,0
223,-11.6,4.35,-3.29,0
224,-12.0,4.47,-3.27,0
225,-12.21,4.58,-3.26,0
226,-12.53,4.57,-3.27,0
227,-12.91,4.59,-3.38,0
228,-13.5,4.68,-3.52,0
229,-14.23,4.59,-3.52,0
230,-14.79,4.78,-3.68,0
231,-15.14,5.22,-3.71,0
232,-15.8,5.22,-3.68,0
233,-16.59,5.16,-3.7,0
234,-17.91,5.15,-3.73,0
235,-18.75,5.29,-3.74,0
236,-19.35,5.4,-3.75,0
237,-19.93,5.46,-3.73,0
238,-20.33,5.6,-3.71,0
239,-21.02,5.78,-3.72,0
240,-22.07,6.08,-3.67,0
241,-22.87,6.26,-3.62,0
242,-23.48,6.33,-3.67,0
243,-24.0,6.56,-3.55,0
244,-24.65,6.68,-3.48,0
245,-25.2,6.63,-3.47,0
246,-25.39,6.62,-3.46,0
247,-25.47,6.7,-3.46,0
248,-25.71,6.87,-3.44,0
249,-26.1,7.02,-3.47,0
250,-26.51,6.99,-3.51,0
251,-26.97,6.99,-3.51,0
252,-27.57,7.24,-3.56,0
253,-28.34,7.41,-3.65,0
254,-28.86,7.64,-3.72,0
255,-29.13,7.84,-3.83,0
256,-29.27,8.14,-3.82,0
257,-29.59,8.23,-3.9,0
258,-30.16,8.0,-4.13,0
259,-31.02,7.97,-4.32,0
260,-32.03,8.25,-4.51,0
261,-32.21,8.23,-5.11,0
262,-32.59,8.23,-5.63,0
263,-33.03,8.24,-5.8,0
264,-33.24,8.25,-5.97,0
265,-33.23,8.17,-6.11,0
266,-33.25,8.03,-6.23,0
267,-33.48,7.96,-6.35,0
268,-33.73,8.02,-6.45,0
269,-34.05,8.07,-6.51,0
270,-34.4,8.06,-6.48,0
271,-35.0,7.78,-6.47,0
272,-35.59,7.63,-6.58,0
273,-36.13,7.56,-6.66,0
274,-36.57,7.47,-6.66,0
275,-37.05,7.37,-6.77,0
276,-37.7,7.42,-6.92,0
277,-38.3,7.56,-6.95,0
278,-38.75,7.51,-6.9,0
279,-39.1,7.43,-6.76,0
280,-39.37,7.42,-6.51,0
281,-39.63,7.49,-6.13,0
282,-40.21,7.15,-5.78,0
283,-40.99,6.87,-5.54,0
284,-41.83,6.9,-5.39,0
285,-42.21,6.99,-5.35,0
286,-42.37,6.78,-5.37,0
287,-42.54,6.62,-5.52,0
288,-42.73,6.6,-5.68,0
289,-42.81,6.54,-5.69,0
290,-42.88,6.5,-5.61,0
291,-43.2,6.59,-5.5,0
292,-43.73,6.96,-5.28,0
293,-44.05,7.1,-5.34,0
294,-44.13,7.16,-5.38,0
295,-44.2,7.35,-5.42,0
296,-44.26,7.59,-5.45,0
297,-44.36,7.62,-5.48,0
298,-44.46,7.66,-5.53,0
299,-44.58,7.69,-5.6,0
300,-44.95,7.57,-5.7,0
301,-44.99,7.54,-5.8,0
302,-45.21,7.47,-5.96,0
303,-45.54,7.41,-6.13,0
304,-46.52,7.6,-6.38,0
305,-46.71,7.85,-6.51,0
306,-47.2,8.24,-6.65,0
307,-47.51,8.59,-6.71,0
308,-47.6,8.68,-6.76,0
309,-47.62,8.67,-6.8,0
310,-47.66,8.74,-6.82,0
311,-47.71,8.97,-6.8,0
312,-48.31,9.08,-6.81,0
313,-48.62,9.23,-6.84,0
314,-48.68,9.34,-6.83,0
315,-48.72,9.3,-6.81,0
316,-48.79,9.24,-6.77,0
317,-48.93,9.3,-6.75,0
318,-49.01,9.35,-6.72,0
319,-49.05,9.34,-6.7,0
320,-49.09,9.25,-6.67,0
321,-49.11,9.3,-6.63,0
322,-49.14,9.27,-6.57,0
323,-49.19,9.44,-6.54,0
324,-49.24,9.49,-6.5,0
325,-49.28,9.51,-6.45,0
326,-49.29,9.47,-6.4,0
327,-49.32,9.52,-6.36,0
328,-49.36,9.63,-6.32,0
329,-49.4,9.7,-6.27,0
330,-49.44,9.65,-6.23,0
331,-49.45,9.49,-6.19,0
332,-49.48,9.4,-6.16,0
333,-49.51,9.42,-6.11,0
334,-49.52,9.35,-6.06,0
335,-49.5,9.3,-6.01,0
336,-49.56,9.26,-5.97,0
337,-49.6,9.25,-5.91,0
338,-49.63,9.28,-5.83,0
339,-49.45,9.38,-5.73,0
340,-49.38,9.43,-5.65,0
341,-49.48,9.27,-5.58,0
342,-49.49,9.14,-5.53,0
343,-49.51,9.17,-5.49,0
344,-49.49,9.12,-5.48,0
345,-49.55,8.88,-5.53,0
346,-49.53,8.54,-5.62,0
347,-49.66,8.57,-5.74,0
348,-49.94,8.6,-5.54,0
349,-49.74,8.77,-5.55,0
350,-49.75,8.68,-5.58,0
351,-49.73,8.52,-5.6,0
352,-49.74,8.33,-5.61,0
353,-49.72,8.17,-5.64,0
354,-49.71,8.09,-5.65,0
355,-49.74,8.17,-5.65,0
356,-50.09,8.28,-5.69,0
357,-50.21,8.43,-5.7,0
358,-50.29,8.58,-5.67,0
359,-50.44,8.78,-5.66,0
360,-50.36,8.75,-5.63,0
361,-50.38,8.73,-5.64,0
362,-50.08,8.66,-5.61,0
363,-50.1,8.53,-5.64,0
364,-50.14,8.43,-5.66,0
365,-50.18,8.38,-5.68,0
366,-50.18,8.32,-5.7,0
367,-50.21,8.35,-5.7,0
368,-50.22,8.42,-5.7,0
369,-50.25,8.3,-5.7,0
370,-50.24,8.03,-5.7,0
371,-50.22,7.81,-5.68,0
372,-50.23,7.86,-5.64,0
373,-50.21,8.01,-5.59,0
374,-50.2,8.08,-5.53,0
375,-50.21,8.11,-5.48,0
376,-50.23,8.17,-5.42,0
377,-50.25,8.12,-5.34,0
378,-50.26,7.88,-5.28,0
379,-50.2,7.77,-5.22,0
380,-50.22,7.87,-5.15,0
381,-50.21,7.89,-5.09,0
382,-50.14,7.76,-5.04,0
383,-50.12,7.64,-5.03,0
384,-50.14,7.57,-5.02,0
385,-50.14,7.47,-5.0,0
386,-50.12,7.28,-4.98,0
387,-50.1,7.19,-4.97,0
388,-50.1,7.43,-4.9,0
389,-50.1,7.82,-4.79,0
390,-50.01,7.95,-4.71,0
391,-49.98,7.96,-4.66,0
392,-49.98,7.96,-4.62,0
393,-49.98,7.94,-4.59,0
394,-49.73,7.88,-4.55,0
395,-49.6,7.67,-4.5,0
396,-49.55,7.46,-4.47,0
397,-49.56,7.49,-4.44,0
398,-49.56,7.67,-4.39,0
399,-49.54,7.76,-4.34,0
400,-49.25,7.8,-4.29,0
401,-49.14,7.72,-4.25,0
402,-49.04,7.64,-4.23,0
403,-49.01,7.58,-4.21,0
404,-48.93,7.54,-4.21,0
405,-48.72,7.54,-4.21,0
406,-48.47,7.57,-4.18,0
407,-48.29,7.49,-4.14,0
